period,population,cases,customer_users,domestic_use,customer_use,first_d,first_e,first_both,neither,d_to_e,e_to_d,both_use,resolved,unresolved,customer_route_success,customer_only_resolution,joint_resolution,customer_user_any_resolution,customer_unresolved,material_at_review,standardized_no_material_score,mechanical_material_increment,mean_customer_merit,mean_customer_dependence,seed,scenario,axis,level,mode
early,all,42,23,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.35714285714285715,0.6428571428571429,0.17391304347826086,0.17391304347826086,0.0,0.2608695652173913,0.7391304347826086,0.0,0.24689103185930672,0.0,0.5831257918358266,0.5095365853917931,1,implementation_0_disabled,implementation,0,disabled
early,both_reachable,32,23,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.25,0.3125,0.5625,0.34375,0.65625,0.17391304347826086,0.17391304347826086,0.0,0.2608695652173913,0.7391304347826086,0.0,0.24689103185930672,0.0,0.5831257918358266,0.5095365853917931,1,implementation_0_disabled,implementation,0,disabled
late,all,35,19,0.9142857142857143,0.5428571428571428,0.6857142857142857,0.3142857142857143,0.0,0.0,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.5428571428571428,0.45714285714285713,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.631578947368421,0.0,0.24370863232023426,0.0,0.5965873502451172,0.4948089349115225,1,implementation_0_disabled,implementation,0,disabled
late,both_reachable,27,19,0.8888888888888888,0.7037037037037037,0.5925925925925926,0.4074074074074074,0.0,0.0,0.2962962962962963,0.2962962962962963,0.5925925925925926,0.5185185185185185,0.48148148148148145,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.631578947368421,0.0,0.24370863232023426,0.0,0.5965873502451172,0.4948089349115225,1,implementation_0_disabled,implementation,0,disabled
early,all,42,23,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.35714285714285715,0.6428571428571429,0.17391304347826086,0.17391304347826086,0.0,0.2608695652173913,0.7391304347826086,0.0,0.24689103185930672,0.0,0.5831257918358266,0.5095365853917931,1,implementation_0_objective,implementation,0,objective
early,both_reachable,32,23,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.25,0.3125,0.5625,0.34375,0.65625,0.17391304347826086,0.17391304347826086,0.0,0.2608695652173913,0.7391304347826086,0.0,0.24689103185930672,0.0,0.5831257918358266,0.5095365853917931,1,implementation_0_objective,implementation,0,objective
late,all,35,19,0.9142857142857143,0.5428571428571428,0.6857142857142857,0.3142857142857143,0.0,0.0,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.5428571428571428,0.45714285714285713,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.631578947368421,0.0,0.24370863232023426,0.0,0.5965873502451172,0.4948089349115225,1,implementation_0_objective,implementation,0,objective
late,both_reachable,27,19,0.8888888888888888,0.7037037037037037,0.5925925925925926,0.4074074074074074,0.0,0.0,0.2962962962962963,0.2962962962962963,0.5925925925925926,0.5185185185185185,0.48148148148148145,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.631578947368421,0.0,0.24370863232023426,0.0,0.5965873502451172,0.4948089349115225,1,implementation_0_objective,implementation,0,objective
early,all,42,24,0.8809523809523809,0.5714285714285714,0.6428571428571429,0.35714285714285715,0.0,0.0,0.21428571428571427,0.23809523809523808,0.4523809523809524,0.38095238095238093,0.6190476190476191,0.20833333333333334,0.20833333333333334,0.0,0.2916666666666667,0.7083333333333334,0.041666666666666664,0.2487378694188198,0.005749999999999998,0.5989285483530582,0.5049725610004684,1,implementation_0_full,implementation,0,full
early,both_reachable,32,24,0.84375,0.75,0.53125,0.46875,0.0,0.0,0.28125,0.3125,0.59375,0.375,0.625,0.20833333333333334,0.20833333333333334,0.0,0.2916666666666667,0.7083333333333334,0.041666666666666664,0.2487378694188198,0.005749999999999998,0.5989285483530582,0.5049725610004684,1,implementation_0_full,implementation,0,full
late,all,35,19,0.9142857142857143,0.5428571428571428,0.6857142857142857,0.3142857142857143,0.0,0.0,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.5428571428571428,0.45714285714285713,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.631578947368421,0.0,0.24370863232023426,0.0,0.5965873502451172,0.4948089349115225,1,implementation_0_full,implementation,0,full
late,both_reachable,27,19,0.8888888888888888,0.7037037037037037,0.5925925925925926,0.4074074074074074,0.0,0.0,0.2962962962962963,0.2962962962962963,0.5925925925925926,0.5185185185185185,0.48148148148148145,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.631578947368421,0.0,0.24370863232023426,0.0,0.5965873502451172,0.4948089349115225,1,implementation_0_full,implementation,0,full
early,all,42,23,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.40476190476190477,0.5952380952380952,0.17391304347826086,0.17391304347826086,0.0,0.34782608695652173,0.6521739130434783,0.0,0.24689103185930672,0.0,0.5831257918358266,0.5095365853917931,1,implementation_1_disabled,implementation,1,disabled
early,both_reachable,32,23,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.25,0.3125,0.5625,0.40625,0.59375,0.17391304347826086,0.17391304347826086,0.0,0.34782608695652173,0.6521739130434783,0.0,0.24689103185930672,0.0,0.5831257918358266,0.5095365853917931,1,implementation_1_disabled,implementation,1,disabled
late,all,35,22,0.8,0.6285714285714286,0.5714285714285714,0.4,0.0,0.02857142857142857,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.42857142857142855,0.5714285714285714,0.3181818181818182,0.3181818181818182,0.0,0.4090909090909091,0.5909090909090909,0.0,0.2509726064051439,0.0,0.6204066573578575,0.4978478021629645,1,implementation_1_disabled,implementation,1,disabled
