cohort,onset,followup,population,cases,domestic_users,customer_users,first_d,first_e,first_both,no_submission,domestic_use,customer_use,both_use,d_to_e,e_to_d,resolved,unresolved,customer_minus_domestic,scenario,seed
0,0,24,both_reachable,19,14,12,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7368421052631579,0.631578947368421,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.42105263157894735,0.5789473684210527,-0.10526315789473684,no_social,0
1,6,24,all,17,11,11,0.4117647058823529,0.47058823529411764,0.0,0.11764705882352941,0.6470588235294118,0.6470588235294118,0.4117647058823529,0.17647058823529413,0.23529411764705882,0.35294117647058826,0.6470588235294118,0.0,no_social,0
1,6,24,both_reachable,15,9,11,0.3333333333333333,0.5333333333333333,0.0,0.13333333333333333,0.6,0.7333333333333333,0.4666666666666667,0.2,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.1333333333333333,no_social,0
2,12,24,all,19,14,8,0.5789473684210527,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.7368421052631579,0.42105263157894735,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.5789473684210527,0.42105263157894735,-0.3157894736842105,no_social,0
2,12,24,both_reachable,18,13,8,0.5555555555555556,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.7222222222222222,0.4444444444444444,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.6111111111111112,0.3888888888888889,-0.2777777777777778,no_social,0
3,18,24,all,18,12,4,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.6111111111111112,0.3888888888888889,-0.4444444444444444,no_social,0
3,18,24,both_reachable,11,8,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.7272727272727273,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.7272727272727273,0.2727272727272727,-0.36363636363636365,no_social,0
4,24,24,all,19,11,10,0.5263157894736842,0.3684210526315789,0.0,0.10526315789473684,0.5789473684210527,0.5263157894736842,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.3684210526315789,0.631578947368421,-0.052631578947368474,no_social,0
4,24,24,both_reachable,16,9,10,0.5,0.4375,0.0,0.0625,0.5625,0.625,0.25,0.1875,0.0625,0.3125,0.6875,0.0625,no_social,0
5,30,24,all,14,12,7,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5,0.5,-0.3571428571428571,no_social,0
5,30,24,both_reachable,12,10,7,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.5833333333333334,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,-0.25,no_social,0
6,36,24,all,20,14,12,0.55,0.35,0.05,0.05,0.7,0.6,0.35,0.2,0.1,0.45,0.55,-0.09999999999999998,no_social,0
6,36,24,both_reachable,19,14,12,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7368421052631579,0.631578947368421,0.3684210526315789,0.21052631578947367,0.10526315789473684,0.47368421052631576,0.5263157894736842,-0.10526315789473684,no_social,0
7,42,24,all,23,16,11,0.5652173913043478,0.43478260869565216,0.0,0.0,0.6956521739130435,0.4782608695652174,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.4782608695652174,0.5217391304347826,-0.21739130434782605,no_social,0
7,42,24,both_reachable,17,10,11,0.4117647058823529,0.5882352941176471,0.0,0.0,0.5882352941176471,0.6470588235294118,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.5294117647058824,0.47058823529411764,0.05882352941176472,no_social,0
0,0,24,all,24,19,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.7916666666666666,0.5,0.2916666666666667,0.16666666666666666,0.125,0.4166666666666667,0.5833333333333334,-0.29166666666666663,no_outcomes,0
0,0,24,both_reachable,19,14,12,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7368421052631579,0.631578947368421,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.42105263157894735,0.5789473684210527,-0.10526315789473684,no_outcomes,0
1,6,24,all,17,12,11,0.47058823529411764,0.47058823529411764,0.0,0.058823529411764705,0.7058823529411765,0.6470588235294118,0.4117647058823529,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.5882352941176471,-0.05882352941176472,no_outcomes,0
