time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,expected_wait_d,expected_wait_e,utilities
14,36:0,36,no_addition,False,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.40868282925775223,0.41900053739797377,3.0,3.0,wait:0.000000
14,42:0,42,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5,0.5,0.3370247532265757,0.2534510171764107,3.0,3.0,wait:0.000000
14,46:6,46,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.5,0.5,0.3439476292750366,0.18760280558111614,3.0,3.0,wait:0.482803
14,76:0,76,no_addition,False,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,1.0,0.5,0.5,0.21683692367874113,0.43043667868936064,3.0,3.0,wait:0.000000;e:-0.000274
14,86:12,86,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.33277071386377627,0.2013722692006036,3.0,3.0,wait:0.000000;d:0.117392;e:0.248790;d+e:0.143535
14,96:6,96,no_addition,False,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.3523001079075671,0.44320868309654154,3.0,3.0,wait:0.000000;e:-0.013046
14,108:0,108,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000
14,131:12,131,d,False,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,3.0,1.0,0.5,0.5,0.37985692616415667,0.3889506118451608,3.0,3.0,wait:0.000000;d:0.070305;e:0.061212;d+e:-0.091129
14,137:6,137,no_addition,False,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.21067495909785985,0.38531273408114686,3.0,3.0,wait:0.000000
14,140:6,140,no_addition,False,0.125,0.0,0.125,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.3346212834544936,0.4172365301980692,3.0,3.0,wait:0.482803
14,159:0,159,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.3379496723410936,0.4064367469037631,3.0,3.0,wait:0.000000
14,176:6,176,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.29667236080361553,0.19039524472284738,3.0,3.0,wait:0.000000
14,187:6,187,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.362124988748831,0.3298573274808079,3.0,3.0,wait:0.000000
14,201:0,201,no_addition,False,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.20072772104470216,0.20987555220806772,3.0,3.0,wait:0.000000
14,214:6,214,no_addition,False,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.443590841096819,0.2925123474407271,3.0,3.0,wait:0.000000;d:-0.013429
14,218:0,218,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.5,0.22402292046599662,0.387614879129818,3.0,3.0,wait:0.000000
15,5:6,5,no_addition,False,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0,0.5,0.5,0.18627775142604694,0.4363383782700089,3.0,3.0,wait:0.000000;e:-0.006176
15,22:12,22,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.18691678094765152,0.31450094045556126,3.0,3.0,wait:0.000000;e:0.115661
15,24:12,24,no_addition,False,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,1.0,0.0,1.0,0.0,0.5,0.5,0.2816234955775494,0.39189788092145056,3.0,3.0,wait:0.482803;e:0.303728
15,29:12,29,d,False,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.427069173722378,0.3381597478658024,3.0,3.0,wait:0.000000;d:0.003093
15,34:6,34,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.41646186055116163,0.2610662765689028,3.0,3.0,wait:0.000000
15,36:0,36,no_addition,False,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.40868282925775223,0.41900053739797377,3.0,3.0,wait:0.000000
15,42:0,42,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5,0.5,0.3370247532265757,0.2534510171764107,3.0,3.0,wait:0.000000
15,54:12,54,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.2647979167950553,0.19584158207975574,3.0,3.0,wait:0.000000;d:0.185364;e:0.254321;d+e:0.217039
15,76:0,76,no_addition,False,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,1.0,0.0,0.0,1.0,0.5,0.5,0.21683692367874113,0.43043667868936064,3.0,3.0,wait:0.000000;e:-0.000274
15,96:6,96,no_addition,False,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,2.0,0.0,0.0,1.0,0.5,0.5,0.3523001079075671,0.44320868309654154,3.0,3.0,wait:0.000000;e:-0.013046
15,108:0,108,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,1.0,4.0,3.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000
15,109:12,109,d,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.5,0.5,0.1734570005175878,0.44836137518704255,3.0,3.0,wait:0.000000;d:0.276705;e:0.001801;d+e:0.055860
15,117:12,117,d,False,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.0,3.0,0.0,1.0,0.5,0.5,0.22248103607028888,0.2401405260341156,3.0,3.0,wait:0.000000;d:0.227681;e:0.210022;d+e:0.215057
