variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.1,high,early,d_to_e,20,0.16366489552273303,0.1266261279640141,0.20250694970710675
limited_access,0.1,high,early,firm_equal_resolved,20,0.3280952380952381,0.28042113095238086,0.37236987433862434
limited_access,0.1,high,late,domestic_use,20,0.8217530655039911,0.7829281586221618,0.8607716984070168
limited_access,0.1,high,late,customer_use,20,0.39084623432272847,0.32617058309827984,0.4570066433011731
limited_access,0.1,high,late,resolved,20,0.33279131198627426,0.27682831268038727,0.38831554953390407
limited_access,0.1,high,late,customer_success,20,0.1593704906204906,0.09610511363636362,0.22831155303030287
limited_access,0.1,high,late,first_customer,20,0.22619756409255326,0.17267445706439424,0.2836309684329837
limited_access,0.1,high,late,both_use,20,0.28431133756463545,0.2370256609491449,0.33409118309535163
limited_access,0.1,high,late,d_to_e,20,0.16226771784922273,0.12297782513688509,0.20611116578938624
limited_access,0.1,high,late,firm_equal_resolved,20,0.33005952380952375,0.2775831679894179,0.38285879629629616
limited_access,0.1,high_tail,early,domestic_use,20,0.8565840205546088,0.8117343347012463,0.9008898678935444
limited_access,0.1,high_tail,early,customer_use,20,0.4708835772071066,0.38502543983793985,0.544653678021325
limited_access,0.1,high_tail,early,resolved,20,0.32447416962122844,0.27095280781310194,0.37835709143797386
limited_access,0.1,high_tail,early,customer_success,19,0.13009607351712613,0.06547305764411028,0.19996083959899746
limited_access,0.1,high_tail,early,first_customer,20,0.2676894184247125,0.20465631509013862,0.33217799112652047
limited_access,0.1,high_tail,early,both_use,20,0.37296238075649835,0.2952214521589521,0.4471321701174641
limited_access,0.1,high_tail,early,d_to_e,20,0.18924699483523008,0.138027441104647,0.23902617072470006
limited_access,0.1,high_tail,early,firm_equal_resolved,20,0.320922619047619,0.2647698412698412,0.3769642857142856
limited_access,0.1,high_tail,late,domestic_use,20,0.8168907563025212,0.7696288515406162,0.8637851890756303
limited_access,0.1,high_tail,late,customer_use,20,0.41880727932198525,0.3396815476190476,0.48932426111470223
limited_access,0.1,high_tail,late,resolved,20,0.3398754758313582,0.2761071428571429,0.40121507352941177
limited_access,0.1,high_tail,late,customer_success,19,0.18084795321637426,0.10883040935672512,0.25939901837928153
limited_access,0.1,high_tail,late,first_customer,20,0.2424400721827192,0.17915377881921996,0.3071115532751561
limited_access,0.1,high_tail,late,both_use,20,0.305772148603031,0.23944518849206348,0.37318966817496224
limited_access,0.1,high_tail,late,d_to_e,20,0.17220054047259928,0.12289131069094303,0.22477834002190616
limited_access,0.1,high_tail,late,firm_equal_resolved,20,0.34345238095238095,0.2820468749999999,0.4023519345238095
limited_access,0.1,low,early,domestic_use,20,0.8177348221897456,0.780351495810775,0.8560725613367877
limited_access,0.1,low,early,customer_use,20,0.38084285492853265,0.3287474237718803,0.4314097988009433
limited_access,0.1,low,early,resolved,20,0.34344809761849404,0.28925296857873584,0.3905914332630285
limited_access,0.1,low,early,customer_success,20,0.09343253968253966,0.05307291666666666,0.13652876984126983
limited_access,0.1,low,early,first_customer,20,0.24913947891409527,0.19692234779287204,0.298989588177168
limited_access,0.1,low,early,both_use,20,0.2668484696250042,0.23119594626388104,0.30563314283223164
limited_access,0.1,low,early,d_to_e,20,0.12098909030015166,0.09077145109526022,0.155347844424331
limited_access,0.1,low,early,firm_equal_resolved,20,0.35746031746031737,0.3019211309523809,0.40712334656084653
limited_access,0.1,low,late,domestic_use,20,0.8534142276805321,0.8095342742251709,0.8976848394660895
limited_access,0.1,low,late,customer_use,20,0.38063033283141984,0.33051865216607057,0.4311996576792772
limited_access,0.1,low,late,resolved,20,0.30528981586046805,0.25298832854946984,0.3577770817648535
limited_access,0.1,low,late,customer_success,20,0.1356024531024531,0.0893632756132756,0.18075022546897535
limited_access,0.1,low,late,first_customer,20,0.2148933433716042,0.18378160682916117,0.2449480519480519
limited_access,0.1,low,late,both_use,20,0.2913997506117071,0.2367001576322228,0.3455660182963171
limited_access,0.1,low,late,d_to_e,20,0.15816534914361,0.11693113785369218,0.20114971630121084
limited_access,0.1,low,late,firm_equal_resolved,20,0.3052513227513227,0.2525381944444444,0.3569198082010582
limited_access,0.1,low_tail,early,domestic_use,20,0.8114718084203378,0.762693577052033,0.8620873347445039
limited_access,0.1,low_tail,early,customer_use,20,0.37611376368729305,0.30605042547321953,0.4471784998090145
limited_access,0.1,low_tail,early,resolved,20,0.32868023724641376,0.26647840007215007,0.38614876310372626
limited_access,0.1,low_tail,early,customer_success,19,0.07161654135338344,0.028192355889724307,0.12125313283208011
limited_access,0.1,low_tail,early,first_customer,20,0.26089174306086066,0.19232019512350396,0.3317778759230965
limited_access,0.1,low_tail,early,both_use,20,0.25208625116713346,0.19731550669510226,0.3151504077009591
limited_access,0.1,low_tail,early,d_to_e,20,0.10411090951532127,0.06645165945165943,0.14531461675579319
limited_access,0.1,low_tail,early,firm_equal_resolved,20,0.3434623015873016,0.2806108630952381,0.4013306051587301
limited_access,0.1,low_tail,late,domestic_use,20,0.8505513114336646,0.8002419284147224,0.8981435929266811
limited_access,0.1,low_tail,late,customer_use,20,0.39659868317956554,0.3161376852314352,0.4777486126006347
limited_access,0.1,low_tail,late,resolved,20,0.29330592201915734,0.23813723990470312,0.353048285048285
limited_access,0.1,low_tail,late,customer_success,19,0.13916040100250626,0.07255325814536338,0.22545112781954882
limited_access,0.1,low_tail,late,first_customer,20,0.23395517472723348,0.17708534235372467,0.29109641461479696
limited_access,0.1,low_tail,late,both_use,20,0.3038673948600419,0.22586928237203965,0.3859701600482851
limited_access,0.1,low_tail,late,d_to_e,20,0.15431017511899864,0.10990980465612817,0.20122372970167082
limited_access,0.1,low_tail,late,firm_equal_resolved,20,0.28714285714285714,0.2369399801587302,0.34212326388888886
limited_access,0.3,all,early,domestic_use,20,0.8158455760861575,0.7947397885337973,0.8368602929932563
limited_access,0.3,all,early,customer_use,20,0.46007140252648276,0.41268565841356936,0.5085228750107371
