variant,dependence_mean,grouping,period,metric,n,mean,low,high
main,0.5,halves,early,firm_equal_resolved,20,-0.06167989417989419,-0.1388844246031746,0.009438988095238096
main,0.5,halves,late,domestic_use,20,-0.07030940474102407,-0.13972657023162224,-0.0001560174959312407
main,0.5,halves,late,customer_use,20,0.04380896391564045,-0.015239879080402715,0.10026155430621034
main,0.5,halves,late,resolved,20,0.08461585039674283,0.026009959397738692,0.14854339050733667
main,0.5,halves,late,customer_success,20,0.09477482892924072,0.0222412083423113,0.1757621232933733
main,0.5,halves,late,first_customer,20,0.07945252939952764,0.02571293965630771,0.1360315802548395
main,0.5,halves,late,both_use,20,-0.03953879651853808,-0.09002824226389816,0.012161479308109038
main,0.5,halves,late,d_to_e,20,-0.037199757754845936,-0.09734737791691118,0.02601621670962253
main,0.5,halves,late,firm_equal_resolved,20,0.0858399470899471,0.02592559523809524,0.14702810846560846
main,0.5,tails,early,domestic_use,20,0.05306286442315857,-0.05918613280102246,0.15585293107627646
main,0.5,tails,early,customer_use,20,0.08843537997949764,0.019150141933230162,0.15983994681788796
main,0.5,tails,early,resolved,20,-0.04732854971825558,-0.127162506611036,0.035672291862549235
main,0.5,tails,early,customer_success,20,-0.0012139249639249686,-0.09953061868686866,0.0930244859307359
main,0.5,tails,early,first_customer,20,0.03115305038099157,-0.06893486762420586,0.13253436616488082
main,0.5,tails,early,both_use,20,0.14753991106932288,0.04517891381494323,0.24178607462798635
main,0.5,tails,early,d_to_e,20,0.06482201213818861,-0.006156099211246257,0.13956877477098056
main,0.5,tails,early,firm_equal_resolved,20,-0.053799603174603174,-0.14232242063492062,0.03476264880952379
main,0.5,tails,late,domestic_use,20,-0.07126926586485412,-0.14833169618371828,0.01034823968923227
main,0.5,tails,late,customer_use,20,0.023856343819579122,-0.06288504928486548,0.11291501941685758
main,0.5,tails,late,resolved,20,0.16742728676552207,0.0932547944294268,0.24569414266289244
main,0.5,tails,late,customer_success,20,0.19333236208236207,0.12141661810411811,0.2730742486679987
main,0.5,tails,late,first_customer,20,0.06175170009728833,-0.039907335005680604,0.15840390277614538
main,0.5,tails,late,both_use,20,-0.07157870724047195,-0.1395939329257344,0.0025578710505181038
main,0.5,tails,late,d_to_e,20,-0.03631797532532827,-0.10197242340992341,0.03125705217984628
main,0.5,tails,late,firm_equal_resolved,20,0.1764087301587302,0.10274875992063497,0.25072197420634906
main,0.7,halves,early,domestic_use,20,0.04596773457319963,-0.003837546783674295,0.0947790642408062
main,0.7,halves,early,customer_use,20,0.021172317030272357,-0.036630603169601504,0.08243812477577538
main,0.7,halves,early,resolved,20,-0.039121615968348365,-0.11509930964792825,0.03495826406588915
main,0.7,halves,early,customer_success,20,0.002844988688641935,-0.06354675344864974,0.07180761028187498
main,0.7,halves,early,first_customer,20,-0.029380749959646856,-0.09734911171232934,0.04708978229839882
main,0.7,halves,early,both_use,20,0.07553816084716947,0.003251297033878408,0.14538830594430058
main,0.7,halves,early,d_to_e,20,0.035213177410899174,-0.017498388368765418,0.08783273769644115
main,0.7,halves,early,firm_equal_resolved,20,-0.044867724867724876,-0.12428025793650796,0.02931696428571426
main,0.7,halves,late,domestic_use,20,-0.09289638775210524,-0.15776715895081428,-0.024292706488670053
main,0.7,halves,late,customer_use,20,0.05890420669689413,-0.007499295228111377,0.1232945679233832
main,0.7,halves,late,resolved,20,0.04074035003710934,-0.03975614298402952,0.12491933305202654
main,0.7,halves,late,customer_success,20,0.04209667418065252,-0.04999214363315561,0.14001454077827913
main,0.7,halves,late,first_customer,20,0.10604648124418621,0.034780314784796755,0.17936696366839852
main,0.7,halves,late,both_use,20,-0.04358717455500334,-0.09907464250435633,0.010822446641700085
main,0.7,halves,late,d_to_e,20,-0.046216250247411925,-0.0990520841163593,0.00887701590933845
main,0.7,halves,late,firm_equal_resolved,20,0.041005291005290996,-0.04158697089947093,0.12801984126984126
main,0.7,tails,early,domestic_use,20,0.050484144123850015,-0.04818889566316037,0.14610493499555996
main,0.7,tails,early,customer_use,20,0.05954624215653627,-0.001409987071751791,0.1211231311580576
main,0.7,tails,early,resolved,20,-0.0461165509327274,-0.1464088693169576,0.04935710572107627
main,0.7,tails,early,customer_success,20,-0.020467310467310474,-0.11729891983016985,0.07440002358752347
main,0.7,tails,early,first_customer,20,0.012812204135733543,-0.08155173278518868,0.10861264634058755
main,0.7,tails,early,both_use,20,0.12314726939726939,0.03035225926034749,0.21698047091797093
main,0.7,tails,early,d_to_e,20,0.03455455084131555,-0.03832912757177462,0.10521062444499943
main,0.7,tails,early,firm_equal_resolved,20,-0.04945436507936508,-0.15520758928571426,0.05014037698412702
main,0.7,tails,late,domestic_use,20,-0.07325641678582859,-0.16005657924591754,0.018397291638100333
main,0.7,tails,late,customer_use,20,0.0460817450523333,-0.03882537325827763,0.12644082969726356
main,0.7,tails,late,resolved,20,0.05101669164169163,-0.05609508842872813,0.15838533402871638
main,0.7,tails,late,customer_success,20,0.06607281607281608,-0.06477317474192475,0.20433625055500054
