period,group,cases,customer_users,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved,firms_observed,variant,dependence_mean,seed
late,high_tail,15,12,0.5333333333333333,0.8,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.13333333333333333,0.7410714285714286,2,main,0.9,0
early,all,41,25,0.8536585365853658,0.6097560975609756,0.36585365853658536,0.16,0.4634146341463415,0.4634146341463415,0.14634146341463414,0.38095238095238093,6,no_perceived,0.1,0
early,low,20,12,0.85,0.6,0.35,0.08333333333333333,0.45,0.45,0.15,0.375,3,no_perceived,0.1,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.38095238095238093,0.23076923076923078,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.38690476190476186,3,no_perceived,0.1,0
early,low_tail,14,11,0.7857142857142857,0.7857142857142857,0.21428571428571427,0.09090909090909091,0.5714285714285714,0.5714285714285714,0.21428571428571427,0.22916666666666666,2,no_perceived,0.1,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.38461538461538464,0.2,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.39285714285714285,2,no_perceived,0.1,0
late,all,43,24,0.8604651162790697,0.5581395348837209,0.46511627906976744,0.08333333333333333,0.3023255813953488,0.4186046511627907,0.2558139534883721,0.45886243386243386,6,no_perceived,0.1,0
late,low,23,11,0.8695652173913043,0.4782608695652174,0.43478260869565216,0.09090909090909091,0.21739130434782608,0.34782608695652173,0.2608695652173913,0.4212962962962963,3,no_perceived,0.1,0
late,high,20,13,0.85,0.65,0.5,0.07692307692307693,0.4,0.5,0.25,0.49642857142857144,3,no_perceived,0.1,0
late,low_tail,15,8,0.8,0.5333333333333333,0.4666666666666667,0.125,0.3333333333333333,0.3333333333333333,0.2,0.4444444444444444,2,no_perceived,0.1,0
late,high_tail,15,8,0.8666666666666667,0.5333333333333333,0.5333333333333333,0.125,0.4,0.4,0.13333333333333333,0.5446428571428572,2,no_perceived,0.1,0
early,all,41,25,0.8536585365853658,0.6097560975609756,0.3902439024390244,0.16,0.4634146341463415,0.4634146341463415,0.14634146341463414,0.4047619047619047,6,no_perceived,0.3,0
early,low,20,12,0.85,0.6,0.35,0.08333333333333333,0.45,0.45,0.15,0.375,3,no_perceived,0.3,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.42857142857142855,0.23076923076923078,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.43452380952380953,3,no_perceived,0.3,0
early,low_tail,14,11,0.7857142857142857,0.7857142857142857,0.21428571428571427,0.09090909090909091,0.5714285714285714,0.5714285714285714,0.21428571428571427,0.22916666666666666,2,no_perceived,0.3,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.2,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.4642857142857143,2,no_perceived,0.3,0
late,all,43,28,0.7906976744186046,0.6511627906976745,0.4418604651162791,0.17857142857142858,0.37209302325581395,0.46511627906976744,0.27906976744186046,0.4343915343915344,6,no_perceived,0.3,0
late,low,23,15,0.8260869565217391,0.6521739130434783,0.391304347826087,0.2,0.30434782608695654,0.4782608695652174,0.34782608695652173,0.38425925925925924,3,no_perceived,0.3,0
late,high,20,13,0.75,0.65,0.5,0.15384615384615385,0.45,0.45,0.2,0.4845238095238096,3,no_perceived,0.3,0
late,low_tail,15,11,0.7333333333333333,0.7333333333333333,0.4,0.18181818181818182,0.4,0.4666666666666667,0.3333333333333333,0.38888888888888884,2,no_perceived,0.3,0
late,high_tail,15,9,0.7333333333333333,0.6,0.5333333333333333,0.2222222222222222,0.4666666666666667,0.4,0.13333333333333333,0.5267857142857143,2,no_perceived,0.3,0
early,all,41,26,0.8292682926829268,0.6341463414634146,0.4146341463414634,0.19230769230769232,0.4634146341463415,0.4634146341463415,0.17073170731707318,0.4325396825396825,6,no_perceived,0.5,0
early,low,20,13,0.8,0.65,0.4,0.15384615384615385,0.45,0.45,0.2,0.4305555555555555,3,no_perceived,0.5,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.42857142857142855,0.23076923076923078,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.43452380952380953,3,no_perceived,0.5,0
early,low_tail,14,11,0.7142857142857143,0.7857142857142857,0.2857142857142857,0.18181818181818182,0.5714285714285714,0.5,0.21428571428571427,0.3125,2,no_perceived,0.5,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.2,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.4642857142857143,2,no_perceived,0.5,0
late,all,43,30,0.7441860465116279,0.6976744186046512,0.4883720930232558,0.3,0.3953488372093023,0.46511627906976744,0.3023255813953488,0.4869047619047619,6,no_perceived,0.5,0
late,low,23,17,0.8260869565217391,0.7391304347826086,0.34782608695652173,0.23529411764705882,0.34782608695652173,0.5652173913043478,0.391304347826087,0.3333333333333333,3,no_perceived,0.5,0
late,high,20,13,0.65,0.65,0.65,0.38461538461538464,0.45,0.35,0.2,0.6404761904761904,3,no_perceived,0.5,0
late,low_tail,15,11,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.18181818181818182,0.4,0.4666666666666667,0.3333333333333333,0.25,2,no_perceived,0.5,0
