case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort
136:24,136,4,24,25.0,46.0,25.0,48.0,27.0,,27.0,49.0,28.0,successful,closed_unresolved,49.0,d,1.0,e,resolved,0.47127513041529295,True,0.4162920712285151,49.0,28.0,remedy_supported,49.0,24.0,24.0,25.0,1,2
141:24,141,3,24,27.0,27.0,55.0,29.0,57.0,,57.0,,58.0,closed_unresolved,successful,58.0,e,1.0,d,resolved,0.6363027851073777,True,0.40760183202748823,29.0,58.0,no_remedy,,31.0,31.0,34.0,1,2
163:24,163,1,24,25.0,25.0,,27.0,,,,28.0,,successful,unused,28.0,d,1.0,d,resolved,0.9704137692613084,True,0.5994915417836008,28.0,,remedy_supported,28.0,3.0,3.0,4.0,0,2
179:24,179,0,24,25.0,25.0,28.0,27.0,30.0,,30.0,,31.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.38803250322340993,True,0.47042565019858995,27.0,31.0,no_remedy,,,82.0,83.0,2,2
181:24,181,2,24,25.0,25.0,,27.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7430482022792215,False,0.6,27.0,,no_remedy,,,82.0,83.0,0,2
184:24,184,2,24,43.0,43.0,,45.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6673718822457438,True,0.6,45.0,,no_remedy,,,64.0,83.0,0,2
191:24,191,5,24,24.0,24.0,,26.0,,,,27.0,,successful,unused,27.0,d,1.0,d,resolved,0.9396717497346392,True,0.506188904761806,27.0,,remedy_supported,27.0,3.0,3.0,3.0,2,2
221:24,221,1,24,25.0,28.0,25.0,30.0,27.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.3757664404564607,True,0.5994915417836008,30.0,27.0,no_remedy,,,82.0,83.0,0,2
229:24,229,4,24,25.0,25.0,,27.0,,,,28.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4661620058538445,True,0.4162920712285151,28.0,,remedy_supported,28.0,,82.0,83.0,1,2
6:36,6,3,36,39.0,39.0,,41.0,,,,42.0,,successful,unused,42.0,d,1.0,d,resolved,0.7432900134788709,True,0.40760183202748823,42.0,,remedy_supported,42.0,3.0,3.0,6.0,1,3
