variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.7,high_tail,early,domestic_use,2,0.8282051282051283,0.7333333333333333,0.9230769230769232
limited_access,0.7,high_tail,early,customer_use,2,0.6743589743589744,0.6153846153846154,0.7333333333333333
limited_access,0.7,high_tail,early,resolved,2,0.46923076923076923,0.4,0.5384615384615384
limited_access,0.7,high_tail,early,customer_success,2,0.26136363636363635,0.25,0.2727272727272727
limited_access,0.7,high_tail,early,first_customer,2,0.4307692307692308,0.4,0.4615384615384615
limited_access,0.7,high_tail,early,both_use,2,0.5025641025641026,0.4666666666666667,0.5384615384615384
limited_access,0.7,high_tail,early,d_to_e,2,0.24358974358974356,0.1538461538461538,0.3333333333333333
limited_access,0.7,high_tail,early,firm_equal_resolved,2,0.46428571428571425,0.3928571428571428,0.5357142857142857
limited_access,0.7,high_tail,late,domestic_use,2,0.6333333333333333,0.6,0.6666666666666666
limited_access,0.7,high_tail,late,customer_use,2,0.5666666666666667,0.4666666666666667,0.6666666666666666
limited_access,0.7,high_tail,late,resolved,2,0.4888888888888889,0.4444444444444444,0.5333333333333333
limited_access,0.7,high_tail,late,customer_success,2,0.5476190476190476,0.4285714285714285,0.6666666666666666
limited_access,0.7,high_tail,late,first_customer,2,0.4222222222222222,0.4,0.4444444444444444
limited_access,0.7,high_tail,late,both_use,2,0.2333333333333333,0.1333333333333333,0.3333333333333333
limited_access,0.7,high_tail,late,d_to_e,2,0.1444444444444444,0.0666666666666666,0.2222222222222222
limited_access,0.7,high_tail,late,firm_equal_resolved,2,0.4758928571428571,0.425,0.5267857142857143
limited_access,0.7,low,early,domestic_use,2,0.825,0.8,0.85
limited_access,0.7,low,early,customer_use,2,0.6,0.45,0.75
limited_access,0.7,low,early,resolved,2,0.475,0.45,0.5
limited_access,0.7,low,early,customer_success,2,0.29999999999999993,0.2666666666666666,0.3333333333333333
limited_access,0.7,low,early,first_customer,2,0.4,0.25,0.55
limited_access,0.7,low,early,both_use,2,0.42500000000000004,0.3,0.55
limited_access,0.7,low,early,d_to_e,2,0.2,0.2,0.2
limited_access,0.7,low,early,firm_equal_resolved,2,0.48611111111111105,0.4583333333333333,0.5138888888888888
limited_access,0.7,low,late,domestic_use,2,0.8019323671497585,0.7777777777777778,0.8260869565217391
limited_access,0.7,low,late,customer_use,2,0.5881642512077294,0.5652173913043478,0.6111111111111112
limited_access,0.7,low,late,resolved,2,0.4118357487922705,0.3888888888888889,0.4347826086956521
limited_access,0.7,low,late,customer_success,2,0.24475524475524474,0.1818181818181818,0.3076923076923077
limited_access,0.7,low,late,first_customer,2,0.46739130434782605,0.4347826086956521,0.5
limited_access,0.7,low,late,both_use,2,0.41787439613526567,0.391304347826087,0.4444444444444444
limited_access,0.7,low,late,d_to_e,2,0.09903381642512075,0.0869565217391304,0.1111111111111111
limited_access,0.7,low,late,firm_equal_resolved,2,0.4003968253968254,0.3841269841269841,0.4166666666666667
limited_access,0.7,low_tail,early,domestic_use,2,0.75,0.7142857142857143,0.7857142857142857
