block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
horizon_double,14,e,69,17,0,15,2,-0.2463768115942029
horizon_double,15,d,78,2,0,2,0,-0.02564102564102564
horizon_double,15,e,78,14,0,10,4,-0.1794871794871795
horizon_double,16,d,81,1,0,1,0,-0.012345679012345678
horizon_double,16,e,81,9,0,8,1,-0.1111111111111111
horizon_double,17,d,85,1,0,1,0,-0.011764705882352941
horizon_double,17,e,85,14,0,11,3,-0.16470588235294117
horizon_double,18,d,71,1,0,1,0,-0.014084507042253521
horizon_double,18,e,71,15,0,10,5,-0.2112676056338028
horizon_double,19,d,75,1,0,1,0,-0.013333333333333334
horizon_double,19,e,75,18,0,17,1,-0.24
costs_up20,0,d,69,1,0,1,0,-0.014492753623188406
costs_up20,0,e,69,18,1,16,2,-0.2463768115942029
costs_up20,1,d,81,1,0,1,0,-0.012345679012345678
costs_up20,1,e,81,15,0,10,5,-0.18518518518518517
costs_up20,2,d,75,1,0,0,1,-0.013333333333333334
costs_up20,2,e,75,13,0,11,2,-0.17333333333333334
costs_up20,3,d,84,4,0,4,0,-0.047619047619047616
costs_up20,3,e,84,13,1,10,3,-0.14285714285714285
costs_up20,4,d,82,3,0,3,0,-0.036585365853658534
costs_up20,4,e,82,9,0,8,1,-0.10975609756097561
costs_up20,5,d,85,1,0,1,0,-0.011764705882352941
costs_up20,5,e,85,15,0,11,4,-0.17647058823529413
costs_up20,6,d,86,1,0,1,0,-0.011627906976744186
costs_up20,6,e,86,20,0,14,6,-0.23255813953488372
costs_up20,7,d,84,1,0,1,0,-0.011904761904761904
costs_up20,7,e,84,8,0,7,1,-0.09523809523809523
costs_up20,8,d,71,0,0,0,0,0.0
costs_up20,8,e,71,14,0,11,3,-0.19718309859154928
costs_up20,9,d,64,2,0,2,0,-0.03125
costs_up20,9,e,64,12,0,8,4,-0.1875
costs_up20,10,d,77,1,0,1,0,-0.012987012987012988
costs_up20,10,e,77,8,0,5,3,-0.1038961038961039
costs_up20,11,d,75,1,0,1,0,-0.013333333333333334
costs_up20,11,e,75,8,0,5,3,-0.10666666666666667
costs_up20,12,d,77,0,0,0,0,0.0
costs_up20,12,e,77,14,0,12,2,-0.18181818181818182
costs_up20,13,d,88,6,0,6,0,-0.06818181818181818
costs_up20,13,e,88,21,0,16,5,-0.23863636363636365
costs_up20,14,d,69,2,0,2,0,-0.028985507246376812
costs_up20,14,e,69,12,0,9,3,-0.17391304347826086
costs_up20,15,d,78,3,0,3,0,-0.038461538461538464
costs_up20,15,e,78,16,1,12,4,-0.19230769230769232
costs_up20,16,d,81,1,0,1,0,-0.012345679012345678
costs_up20,16,e,81,12,0,11,1,-0.14814814814814814
costs_up20,17,d,85,3,0,3,0,-0.03529411764705882
costs_up20,17,e,85,15,0,9,6,-0.17647058823529413
costs_up20,18,d,71,1,0,1,0,-0.014084507042253521
costs_up20,18,e,71,13,1,12,1,-0.16901408450704225
costs_up20,19,d,75,2,0,2,0,-0.02666666666666667
costs_up20,19,e,75,23,0,18,5,-0.30666666666666664
priors_down10,0,d,69,1,0,0,1,-0.014492753623188406
priors_down10,0,e,69,15,0,11,4,-0.21739130434782608
priors_down10,1,d,81,1,0,1,0,-0.012345679012345678
priors_down10,1,e,81,13,0,9,4,-0.16049382716049382
priors_down10,2,d,75,1,0,0,1,-0.013333333333333334
priors_down10,2,e,75,15,0,11,4,-0.2
priors_down10,3,d,84,4,0,4,0,-0.047619047619047616
priors_down10,3,e,84,10,1,8,2,-0.10714285714285714
priors_down10,4,d,82,3,0,3,0,-0.036585365853658534
priors_down10,4,e,82,8,0,6,2,-0.0975609756097561
priors_down10,5,d,85,2,0,1,1,-0.023529411764705882
priors_down10,5,e,85,9,1,7,2,-0.09411764705882353
priors_down10,6,d,86,2,0,1,1,-0.023255813953488372
priors_down10,6,e,86,18,1,12,6,-0.19767441860465115
priors_down10,7,d,84,0,0,0,0,0.0
priors_down10,7,e,84,11,0,8,3,-0.13095238095238096
priors_down10,8,d,71,0,0,0,0,0.0
priors_down10,8,e,71,12,0,9,3,-0.16901408450704225
priors_down10,9,d,64,2,0,2,0,-0.03125
priors_down10,9,e,64,10,1,6,4,-0.140625
priors_down10,10,d,77,1,0,1,0,-0.012987012987012988
priors_down10,10,e,77,4,0,4,0,-0.05194805194805195
priors_down10,11,d,75,0,0,0,0,0.0
priors_down10,11,e,75,6,0,3,3,-0.08
priors_down10,12,d,77,0,0,0,0,0.0
priors_down10,12,e,77,14,0,9,5,-0.18181818181818182
priors_down10,13,d,88,6,0,6,0,-0.06818181818181818
priors_down10,13,e,88,20,0,12,8,-0.22727272727272727
priors_down10,14,d,69,2,0,2,0,-0.028985507246376812
priors_down10,14,e,69,12,1,8,4,-0.15942028985507245
priors_down10,15,d,78,2,0,2,0,-0.02564102564102564
priors_down10,15,e,78,11,1,8,3,-0.1282051282051282
priors_down10,16,d,81,1,0,1,0,-0.012345679012345678
priors_down10,16,e,81,10,0,10,0,-0.12345679012345678
priors_down10,17,d,85,3,0,2,1,-0.03529411764705882
priors_down10,17,e,85,10,0,7,3,-0.11764705882352941
priors_down10,18,d,71,1,0,1,0,-0.014084507042253521
priors_down10,18,e,71,17,0,11,6,-0.23943661971830985
priors_down10,19,d,75,2,0,2,0,-0.02666666666666667
priors_down10,19,e,75,20,0,13,7,-0.26666666666666666
expected_wait_double,0,d,69,0,0,0,0,0.0
expected_wait_double,0,e,69,19,0,18,1,-0.2753623188405797
expected_wait_double,1,d,81,1,0,1,0,-0.012345679012345678
expected_wait_double,1,e,81,14,0,11,3,-0.1728395061728395
expected_wait_double,2,d,75,0,0,0,0,0.0
expected_wait_double,2,e,75,16,0,13,3,-0.21333333333333335
expected_wait_double,3,d,84,4,0,4,0,-0.047619047619047616
expected_wait_double,3,e,84,17,0,12,5,-0.20238095238095238
expected_wait_double,4,d,82,2,0,2,0,-0.024390243902439025
expected_wait_double,4,e,82,10,1,7,3,-0.10975609756097561
expected_wait_double,5,d,85,1,0,1,0,-0.011764705882352941
expected_wait_double,5,e,85,15,0,11,4,-0.17647058823529413
expected_wait_double,6,d,86,1,0,1,0,-0.011627906976744186
expected_wait_double,6,e,86,20,0,17,3,-0.23255813953488372
expected_wait_double,7,d,84,0,0,0,0,0.0
expected_wait_double,7,e,84,8,1,7,1,-0.08333333333333333
expected_wait_double,8,d,71,0,0,0,0,0.0
expected_wait_double,8,e,71,18,0,14,4,-0.2535211267605634
expected_wait_double,9,d,64,1,0,1,0,-0.015625
expected_wait_double,9,e,64,13,1,9,4,-0.1875
expected_wait_double,10,d,77,0,0,0,0,0.0
expected_wait_double,10,e,77,13,0,8,5,-0.16883116883116883
expected_wait_double,11,d,75,0,0,0,0,0.0
expected_wait_double,11,e,75,10,0,7,3,-0.13333333333333333
expected_wait_double,12,d,77,1,0,1,0,-0.012987012987012988
expected_wait_double,12,e,77,17,0,15,2,-0.22077922077922077
expected_wait_double,13,d,88,6,0,6,0,-0.06818181818181818
expected_wait_double,13,e,88,20,0,18,2,-0.22727272727272727
expected_wait_double,14,d,69,2,0,2,0,-0.028985507246376812
expected_wait_double,14,e,69,16,0,13,3,-0.2318840579710145
expected_wait_double,15,d,78,2,0,2,0,-0.02564102564102564
expected_wait_double,15,e,78,17,0,12,5,-0.21794871794871795
expected_wait_double,16,d,81,1,0,1,0,-0.012345679012345678
expected_wait_double,16,e,81,13,0,12,1,-0.16049382716049382
expected_wait_double,17,d,85,1,0,1,0,-0.011764705882352941
expected_wait_double,17,e,85,13,0,12,1,-0.15294117647058825
expected_wait_double,18,d,71,1,0,1,0,-0.014084507042253521
expected_wait_double,18,e,71,18,0,16,2,-0.2535211267605634
expected_wait_double,19,d,75,2,0,2,0,-0.02666666666666667
expected_wait_double,19,e,75,20,0,18,2,-0.26666666666666666
symmetric,0,d,69,12,0,12,0,-0.17391304347826086
