scenario,population,metric,contrast,n,mean,low,high
followup_48,all,no_submission,change,2,0.011627906976744186,0.0,0.023255813953488372
followup_48,all,no_submission,late_minus_base,2,-0.01428571428571427,-0.02857142857142854,0.0
followup_48,all,d_to_e,late,2,0.1840531561461794,0.1395348837209302,0.22857142857142856
followup_48,all,d_to_e,change,2,-0.044750560462415254,-0.07997731140102102,-0.00952380952380949
followup_48,all,d_to_e,late_minus_base,2,0.0,0.0,0.0
followup_48,all,e_to_d,late,2,0.2448504983388704,0.2325581395348837,0.2571428571428571
followup_48,all,e_to_d,change,2,-0.03273370607460227,-0.08451503119682358,0.019047619047619035
followup_48,all,e_to_d,late_minus_base,2,0.03754152823920265,0.028571428571428553,0.046511627906976744
followup_48,all,resolved,late,2,0.4700996677740864,0.42857142857142855,0.5116279069767442
followup_48,all,resolved,change,2,0.00029711260567755193,-0.047619047619047616,0.04821327283040272
followup_48,all,resolved,late_minus_base,2,0.0,0.0,0.0
followup_48,both_reachable,domestic_use,late,2,0.7962962962962963,0.7777777777777778,0.8148148148148148
followup_48,both_reachable,domestic_use,change,2,-0.066755174291939,-0.10457516339869277,-0.02893518518518523
followup_48,both_reachable,domestic_use,late_minus_base,2,0.06481481481481483,0.05555555555555558,0.07407407407407407
followup_48,both_reachable,customer_use,late,2,0.7546296296296295,0.6944444444444444,0.8148148148148148
followup_48,both_reachable,customer_use,change,2,-0.018348311546840967,-0.0702614379084967,0.03356481481481477
followup_48,both_reachable,customer_use,late_minus_base,2,0.0,0.0,0.0
followup_48,both_reachable,customer_minus_domestic,late,2,-0.04166666666666664,-0.08333333333333331,4.11193712824132e-17
followup_48,both_reachable,customer_minus_domestic,change,2,0.04840686274509805,0.034313725490196054,0.06250000000000004
followup_48,both_reachable,customer_minus_domestic,late_minus_base,2,-0.06481481481481477,-0.074074074074074,-0.05555555555555554
followup_48,both_reachable,first_d,late,2,0.47685185185185186,0.4722222222222222,0.48148148148148145
followup_48,both_reachable,first_d,change,2,-0.03877314814814817,-0.049768518518518545,-0.02777777777777779
followup_48,both_reachable,first_d,late_minus_base,2,0.018518518518518517,0.0,0.037037037037037035
followup_48,both_reachable,first_e,late,2,0.5092592592592593,0.5,0.5185185185185185
followup_48,both_reachable,first_e,change,2,0.024884259259259245,0.0,0.04976851851851849
followup_48,both_reachable,first_e,late_minus_base,2,0.0,0.0,0.0
followup_48,both_reachable,first_both,late,2,0.013888888888888883,0.0,0.027777777777777766
followup_48,both_reachable,first_both,change,2,0.013888888888888883,0.0,0.027777777777777766
followup_48,both_reachable,first_both,late_minus_base,2,0.0,0.0,0.0
followup_48,both_reachable,domestic_only,late,2,0.24537037037037035,0.18518518518518512,0.3055555555555556
followup_48,both_reachable,domestic_only,change,2,0.018348311546840954,-0.03356481481481485,0.07026143790849676
followup_48,both_reachable,domestic_only,late_minus_base,2,0.018518518518518504,0.0,0.03703703703703701
followup_48,both_reachable,customer_only,late,2,0.20370370370370366,0.18518518518518512,0.22222222222222218
followup_48,both_reachable,customer_only,change,2,0.06675517429193902,0.028935185185185175,0.10457516339869286
followup_48,both_reachable,customer_only,late_minus_base,2,-0.04629629629629632,-0.05555555555555561,-0.037037037037037035
followup_48,both_reachable,both_use,late,2,0.5509259259259259,0.4722222222222222,0.6296296296296297
followup_48,both_reachable,both_use,change,2,-0.08510348583877997,-0.1748366013071896,0.00462962962962965
followup_48,both_reachable,both_use,late_minus_base,2,0.04629629629629636,0.03703703703703709,0.055555555555555636
followup_48,both_reachable,no_submission,late,2,0.0,0.0,0.0
followup_48,both_reachable,no_submission,change,2,0.0,0.0,0.0
followup_48,both_reachable,no_submission,late_minus_base,2,-0.01851851851851851,-0.03703703703703702,0.0
followup_48,both_reachable,d_to_e,late,2,0.23148148148148145,0.16666666666666663,0.2962962962962963
followup_48,both_reachable,d_to_e,change,2,-0.05712145969498911,-0.09803921568627455,-0.016203703703703665
followup_48,both_reachable,d_to_e,late_minus_base,2,0.0,0.0,0.0
followup_48,both_reachable,e_to_d,late,2,0.3055555555555556,0.2777777777777778,0.3333333333333333
followup_48,both_reachable,e_to_d,change,2,-0.0418709150326797,-0.10457516339869277,0.02083333333333337
followup_48,both_reachable,e_to_d,late_minus_base,2,0.046296296296296335,0.03703703703703709,0.05555555555555558
followup_48,both_reachable,resolved,late,2,0.4814814814814815,0.4074074074074074,0.5555555555555556
followup_48,both_reachable,resolved,change,2,-0.00381263616557731,-0.09259259259259262,0.084967320261438
followup_48,both_reachable,resolved,late_minus_base,2,0.0,0.0,0.0
grid_r0.4_c0.5,all,domestic_use,late,2,0.8445182724252491,0.8285714285714286,0.8604651162790697
