scenario,seed,population,period,domestic_use,customer_use,customer_minus_domestic,first_d,first_e,first_both,domestic_only,customer_only,both_use,no_submission,d_to_e,e_to_d,resolved
grid_r0.7_c1.5,1,all,early,0.9047619047619048,0.2857142857142857,-0.6190476190476191,0.7619047619047619,0.23809523809523805,0.0,0.7142857142857143,0.09523809523809518,0.19047619047619044,0.0,0.047619047619047554,0.14285714285714282,0.30952380952380953
grid_r0.7_c1.5,1,all,late,0.8285714285714286,0.45714285714285713,-0.37142857142857144,0.6285714285714286,0.34285714285714286,0.0,0.5142857142857142,0.1428571428571428,0.3142857142857143,0.02857142857142854,0.11428571428571428,0.19999999999999996,0.42857142857142855
grid_r0.7_c1.5,1,both_reachable,early,0.8787878787878788,0.36363636363636365,-0.5151515151515151,0.696969696969697,0.30303030303030304,0.0,0.6363636363636364,0.12121212121212119,0.2424242424242424,0.0,0.06060606060606054,0.18181818181818177,0.30303030303030304
grid_r0.7_c1.5,1,both_reachable,late,0.7857142857142857,0.5714285714285714,-0.21428571428571433,0.5357142857142857,0.4285714285714285,0.0,0.3928571428571428,0.17857142857142852,0.3928571428571428,0.0357142857142857,0.1428571428571428,0.24999999999999994,0.5
grid_r1.0_c0.5,0,all,early,0.7560975609756098,0.8536585365853658,0.09756097560975607,0.24390243902439024,0.7317073170731707,0.024390243902438987,0.1463414634146341,0.24390243902439024,0.6097560975609756,0.0,0.09756097560975606,0.4878048780487805,0.5121951219512195
grid_r1.0_c0.5,0,all,late,0.7209302325581395,0.8837209302325582,0.16279069767441853,0.3488372093023256,0.5348837209302325,0.11627906976744184,0.11627906976744182,0.27906976744186046,0.6046511627906976,0.0,0.2325581395348837,0.25581395348837205,0.5581395348837209
grid_r1.0_c0.5,0,both_reachable,early,0.7560975609756098,0.8536585365853658,0.09756097560975607,0.24390243902439024,0.7317073170731707,0.024390243902438987,0.1463414634146341,0.24390243902439024,0.6097560975609756,0.0,0.09756097560975606,0.4878048780487805,0.5121951219512195
grid_r1.0_c0.5,0,both_reachable,late,0.7209302325581395,0.8837209302325582,0.16279069767441853,0.3488372093023256,0.5348837209302325,0.11627906976744184,0.11627906976744182,0.27906976744186046,0.6046511627906976,0.0,0.2325581395348837,0.25581395348837205,0.5581395348837209
grid_r1.0_c0.5,1,all,early,0.8095238095238095,0.9285714285714286,0.119047619047619,0.3333333333333333,0.5952380952380952,0.07142857142857138,0.07142857142857142,0.19047619047619044,0.7380952380952381,0.0,0.2619047619047619,0.40476190476190477,0.5
grid_r1.0_c0.5,1,all,late,0.8,0.8571428571428571,0.05714285714285708,0.2571428571428571,0.7142857142857143,0.028571428571428567,0.14285714285714285,0.2,0.6571428571428571,0.0,0.11428571428571425,0.5142857142857142,0.4
grid_r1.0_c0.5,1,both_reachable,early,0.8095238095238095,0.9285714285714286,0.119047619047619,0.3333333333333333,0.5952380952380952,0.07142857142857138,0.07142857142857142,0.19047619047619044,0.7380952380952381,0.0,0.2619047619047619,0.40476190476190477,0.5
grid_r1.0_c0.5,1,both_reachable,late,0.8,0.8571428571428571,0.05714285714285708,0.2571428571428571,0.7142857142857143,0.028571428571428567,0.14285714285714285,0.2,0.6571428571428571,0.0,0.11428571428571425,0.5142857142857142,0.4
grid_r1.0_c1.0,0,all,early,0.8292682926829268,0.6341463414634146,-0.19512195121951212,0.5365853658536586,0.4634146341463415,0.0,0.36585365853658536,0.17073170731707316,0.4634146341463415,0.0,0.17073170731707316,0.2926829268292683,0.4146341463414634
grid_r1.0_c1.0,0,all,late,0.7441860465116279,0.6976744186046512,-0.04651162790697667,0.5581395348837209,0.3953488372093023,0.023255813953488372,0.2790697674418604,0.23255813953488372,0.46511627906976744,0.023255813953488372,0.27906976744186046,0.16279069767441856,0.5581395348837209
grid_r1.0_c1.0,0,both_reachable,early,0.8292682926829268,0.6341463414634146,-0.19512195121951212,0.5365853658536586,0.4634146341463415,0.0,0.36585365853658536,0.17073170731707316,0.4634146341463415,0.0,0.17073170731707316,0.2926829268292683,0.4146341463414634
grid_r1.0_c1.0,0,both_reachable,late,0.7441860465116279,0.6976744186046512,-0.04651162790697667,0.5581395348837209,0.3953488372093023,0.023255813953488372,0.2790697674418604,0.23255813953488372,0.46511627906976744,0.023255813953488372,0.27906976744186046,0.16279069767441856,0.5581395348837209
