scenario,seed,period,rho,feedback,cases,employees,domestic_users,customer_users,customer_employees,domestic_employees,domestic_use,customer_use,both_use,first_customer,d_to_e,resolved,unresolved,potential,blocked,prevented,mean_prevention,knowledge_share
objective_r0.0_f0,11,early_after,0.0,False,41,38,34,2,2,31,0.8292682926829268,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.43902439024390244,0.5609756097560976,66,25,0,0.0,0.20000000000000007
objective_r0.0_f0,11,late_after,0.0,False,40,39,31,3,3,30,0.775,0.075,0.05,0.05,0.025,0.3,0.7,76,36,0,0.0,0.20000000000000007
objective_r0.0_f1,11,before,0.0,True,54,52,42,1,1,40,0.7777777777777778,0.018518518518518517,0.018518518518518517,0.0,0.018518518518518517,0.2777777777777778,0.7222222222222222,76,21,1,0.010851215580909129,0.20000000000000007
objective_r0.0_f1,11,early_after,0.0,True,39,36,32,2,2,29,0.8205128205128205,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.4358974358974359,0.5641025641025641,66,23,4,0.09518883001413142,0.20000000000000007
objective_r0.0_f1,11,late_after,0.0,True,31,30,23,2,2,22,0.7419354838709677,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0,0.22580645161290322,0.7741935483870968,76,32,13,0.2529239504651683,0.20000000000000007
objective_r0.6_f0,11,before,0.6,False,55,53,42,25,24,41,0.7636363636363637,0.45454545454545453,0.2909090909090909,0.23636363636363636,0.2,0.2727272727272727,0.7272727272727273,76,21,0,0.0,1.0
objective_r0.6_f0,11,early_after,0.6,False,42,39,36,17,16,34,0.8571428571428571,0.40476190476190477,0.30952380952380953,0.19047619047619047,0.21428571428571427,0.5238095238095238,0.47619047619047616,66,24,0,0.0,1.0
objective_r0.6_f0,11,late_after,0.6,False,43,40,31,24,22,29,0.7209302325581395,0.5581395348837209,0.32558139534883723,0.3488372093023256,0.16279069767441862,0.46511627906976744,0.5348837209302325,76,33,0,0.0,1.0
objective_r0.6_f1,11,before,0.6,True,50,49,37,21,21,36,0.74,0.42,0.26,0.2,0.2,0.26,0.74,76,18,8,0.2628172106812319,1.0
objective_r0.6_f1,11,early_after,0.6,True,28,27,23,9,9,23,0.8214285714285714,0.32142857142857145,0.2857142857142857,0.21428571428571427,0.10714285714285714,0.4642857142857143,0.5357142857142857,66,15,23,0.5188661036309746,1.0
objective_r0.6_f1,11,late_after,0.6,True,27,24,20,10,9,18,0.7407407407407407,0.37037037037037035,0.2962962962962963,0.25925925925925924,0.07407407407407407,0.4074074074074074,0.5925925925925926,76,20,29,0.5486911877193382,1.0
information_r0.0_f0,11,before,0.0,False,55,53,43,5,5,41,0.7818181818181819,0.09090909090909091,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.2727272727272727,0.7272727272727273,76,21,0,0.0,0.20000000000000007
information_r0.0_f0,11,early_after,0.0,False,41,38,33,4,4,30,0.8048780487804879,0.0975609756097561,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.4634146341463415,0.5365853658536586,66,25,0,0.0,0.34999999999999987
information_r0.0_f0,11,late_after,0.0,False,39,38,29,3,3,28,0.7435897435897436,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.28205128205128205,0.717948717948718,76,37,0,0.0,0.34999999999999987
information_r0.0_f1,11,before,0.0,True,54,52,42,4,4,40,0.7777777777777778,0.07407407407407407,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.2777777777777778,0.7222222222222222,76,21,1,0.010851215580909129,0.20000000000000007
information_r0.0_f1,11,early_after,0.0,True,33,31,24,3,3,22,0.7272727272727273,0.09090909090909091,0.0,0.09090909090909091,0.0,0.48484848484848486,0.5151515151515151,66,21,12,0.3390009680104696,0.34999999999999987
information_r0.0_f1,11,late_after,0.0,True,31,30,22,3,3,21,0.7096774193548387,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.1935483870967742,0.8064516129032258,76,31,14,0.22154729624663744,0.34999999999999987
information_r0.6_f0,11,before,0.6,False,55,53,42,25,24,41,0.7636363636363637,0.45454545454545453,0.2909090909090909,0.23636363636363636,0.2,0.2727272727272727,0.7272727272727273,76,21,0,0.0,1.0
information_r0.6_f0,11,early_after,0.6,False,42,39,36,16,15,34,0.8571428571428571,0.38095238095238093,0.2857142857142857,0.14285714285714285,0.23809523809523808,0.40476190476190477,0.5952380952380952,66,24,0,0.0,1.0
information_r0.6_f0,11,late_after,0.6,False,41,40,33,17,17,32,0.8048780487804879,0.4146341463414634,0.2926829268292683,0.2682926829268293,0.12195121951219512,0.34146341463414637,0.6585365853658537,76,35,0,0.0,1.0
