scenario,seed,time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
delay_8,18,49,0,0,0,0,6,0,0,81,81,87,6,6,6,0,0,0,0,81,0.06896551724137931,0.0,9.530864197530864,1.0,0.0,0.0
delay_8,19,49,0,0,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0.0,0.0,9.352941176470589,1.0,0.0,0.0
effect_0,0,49,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
effect_0,1,49,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,77,1.0,1.0,,1.0,0.0,0.0
effect_0,2,49,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
effect_0,3,49,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,6,1.0,1.0,,1.0,0.0,0.0
effect_0,4,49,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,99,1.0,1.0,,1.0,0.0,0.0
effect_0,5,49,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,95,1.0,1.0,,1.0,0.0,0.0
effect_0,6,49,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,87,1.0,1.0,,1.0,0.0,0.0
effect_0,7,49,0,0,85,0,93,85,0,0,85,93,8,8,8,0,0,0,0,85,1.0,1.0,,1.0,0.0,0.0
effect_0,8,49,0,0,96,0,99,96,0,0,96,99,3,3,3,0,0,0,0,96,1.0,1.0,,1.0,0.0,0.0
effect_0,9,49,0,0,98,0,102,98,0,0,98,102,4,4,4,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
effect_0,10,49,0,0,91,0,97,91,0,0,91,97,6,6,6,0,0,0,0,91,1.0,1.0,,1.0,0.0,0.0
effect_0,11,49,0,0,83,0,85,83,0,0,83,85,2,2,2,0,0,0,0,83,1.0,1.0,,1.0,0.0,0.0
effect_0,12,49,0,0,97,0,102,97,0,0,97,102,5,5,5,0,0,0,0,97,1.0,1.0,,1.0,0.0,0.0
effect_0,13,49,0,0,94,0,96,94,0,0,94,96,2,2,2,0,0,0,0,94,1.0,1.0,,1.0,0.0,0.0
effect_0,14,49,0,0,89,0,93,89,0,0,89,93,4,4,4,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
effect_0,15,49,0,0,16,0,97,16,0,0,16,97,81,81,81,0,0,0,0,16,1.0,1.0,,1.0,0.0,0.0
effect_0,16,49,0,0,72,0,85,72,0,0,72,85,13,13,13,0,0,0,0,72,1.0,1.0,,1.0,0.0,0.0
effect_0,17,49,0,0,88,0,96,88,0,0,88,96,8,8,8,0,0,0,0,88,1.0,1.0,,1.0,0.0,0.0
effect_0,18,49,0,0,81,0,87,81,0,0,81,87,6,6,6,0,0,0,0,81,1.0,1.0,,1.0,0.0,0.0
effect_0,19,49,0,0,102,0,102,102,0,0,102,102,0,0,0,0,0,0,0,102,1.0,1.0,,1.0,0.0,0.0
effect_low,0,49,0,0,0,0,11,0,0,90,90,101,11,11,11,0,0,0,0,90,0.10891089108910891,0.0,4.511111111111111,1.0,0.0,0.0
effect_low,1,49,0,0,0,0,32,0,0,52,52,84,32,32,32,0,0,0,0,52,0.38095238095238093,0.0,3.1923076923076925,1.0,0.0,0.0
effect_low,2,49,0,0,0,0,3,0,0,89,89,92,3,3,3,0,0,0,0,89,0.03260869565217391,0.0,5.764044943820225,1.0,0.0,0.0
effect_low,3,49,0,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,5.0,1.0,0.0,0.0
effect_low,4,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,5.353535353535354,1.0,0.0,0.0
effect_low,5,49,0,0,0,0,1,0,0,95,95,96,1,1,1,0,0,0,0,95,0.010416666666666666,0.0,5.031578947368421,1.0,0.0,0.0
effect_low,6,49,0,0,0,0,7,0,0,87,87,94,7,7,7,0,0,0,0,87,0.07446808510638298,0.0,5.2298850574712645,1.0,0.0,0.0
effect_low,7,49,0,0,0,0,11,0,0,82,82,93,11,11,11,0,0,0,0,82,0.11827956989247312,0.0,6.170731707317073,1.0,0.0,0.0
effect_low,8,49,0,0,0,0,4,0,0,95,95,99,4,4,4,0,0,0,0,95,0.04040404040404041,0.0,5.463157894736842,1.0,0.0,0.0
effect_low,9,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,4.938144329896907,1.0,0.0,0.0
effect_low,10,49,0,0,0,0,7,0,0,90,90,97,7,7,7,0,0,0,0,90,0.07216494845360824,0.0,6.1,1.0,0.0,0.0
