scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
network_ws,5,44,0,0,0,0,0,0,40,0,0,40,0,0,0,45,85,85,0,0,85,82,47,44,0.5529411764705883,0.5529411764705883,0.9647058823529412,0.8117647058823529,0.11764705882352941,0.07058823529411765,0.0,0.4492753623188406,5.903225806451613,0.2553191489361702,0.5319148936170213,0.5121951219512195,0.3170731707317073,0.5755597007041806,0.4814519867638307,0.47058823529411764,0.47058823529411764,0.46808510638297873,6.133333333333334,7.0,2076,546
network_ws,6,44,0,0,0,0,0,0,35,0,0,35,0,0,0,51,86,86,0,0,86,82,54,50,0.627906976744186,0.627906976744186,0.9534883720930233,0.8255813953488372,0.11627906976744186,0.05813953488372093,0.0,0.5492957746478874,6.153846153846154,0.35185185185185186,0.5925925925925926,0.6458333333333334,0.4166666666666667,0.5810450276274838,0.5622190984836779,0.4069767441860465,0.4069767441860465,0.4074074074074074,6.431372549019608,6.0,1903,579
network_ws,7,44,0,0,0,0,0,0,44,0,0,44,0,0,0,40,84,84,0,0,84,83,46,45,0.5476190476190477,0.5476190476190477,0.9880952380952381,0.8214285714285714,0.03571428571428571,0.14285714285714285,0.0,0.4492753623188406,6.193548387096774,0.2391304347826087,0.4782608695652174,0.5128205128205128,0.3076923076923077,0.5855046349883024,0.5565788511375112,0.5238095238095238,0.5238095238095238,0.5217391304347826,6.3,6.0,2232,539
network_ws,8,44,0,0,0,0,0,0,37,0,0,37,0,0,0,34,71,71,0,0,71,71,32,32,0.4507042253521127,0.4507042253521127,1.0,0.8873239436619719,0.014084507042253521,0.09859154929577464,0.0,0.38095238095238093,5.791666666666667,0.1875,0.46875,0.5925925925925926,0.5185185185185185,0.5664471503581744,0.5765031461794503,0.5211267605633803,0.5211267605633803,0.53125,6.794117647058823,7.0,1896,455
network_ws,9,44,0,0,0,0,0,0,24,0,0,24,0,0,0,40,64,64,0,0,64,64,30,30,0.46875,0.46875,1.0,0.890625,0.046875,0.0625,0.0,0.40350877192982454,5.478260869565218,0.26666666666666666,0.5666666666666667,0.76,0.6,0.5398884924421762,0.2888068622442664,0.375,0.375,0.43333333333333335,5.45,5.0,1298,370
network_ws,10,44,0,0,0,0,0,0,33,0,0,33,0,0,0,44,77,77,0,0,77,77,27,27,0.35064935064935066,0.35064935064935066,1.0,0.8831168831168831,0.025974025974025976,0.09090909090909091,0.0,0.2647058823529412,7.277777777777778,0.2222222222222222,0.5185185185185185,0.5833333333333334,0.4166666666666667,0.621403659994847,0.34494799681754634,0.42857142857142855,0.42857142857142855,0.48148148148148145,6.318181818181818,6.0,1763,488
network_ws,11,44,0,0,0,0,0,0,33,0,0,33,0,0,0,42,75,75,0,0,75,73,32,30,0.4266666666666667,0.4266666666666667,0.9733333333333334,0.7866666666666666,0.10666666666666667,0.10666666666666667,0.0,0.2711864406779661,5.4375,0.34375,0.625,0.5714285714285714,0.2857142857142857,0.6651577046524275,0.7100995818270397,0.44,0.44,0.375,5.857142857142857,6.0,1731,428
network_ws,12,44,0,0,0,0,0,0,36,0,0,36,0,0,0,41,77,77,0,0,77,76,47,46,0.6103896103896104,0.6103896103896104,0.987012987012987,0.8311688311688312,0.07792207792207792,0.09090909090909091,0.0,0.53125,6.147058823529412,0.23404255319148937,0.46808510638297873,0.625,0.35,0.5983938889496127,0.5381672672462816,0.4675324675324675,0.4675324675324675,0.5319148936170213,6.804878048780488,6.0,1899,522
network_ws,13,44,0,0,0,0,0,0,39,0,0,39,0,0,0,49,88,88,0,0,88,83,53,48,0.6022727272727273,0.6022727272727273,0.9431818181818182,0.8068181818181818,0.14772727272727273,0.045454545454545456,0.0,0.5070422535211268,6.055555555555555,0.20754716981132076,0.5094339622641509,0.6363636363636364,0.36363636363636365,0.6021984596260926,0.5859291790612899,0.4431818181818182,0.4431818181818182,0.49056603773584906,6.020408163265306,6.0,2050,587
network_ws,14,44,0,0,0,0,0,0,34,0,0,34,0,0,0,35,69,69,0,0,69,68,34,33,0.4927536231884058,0.4927536231884058,0.9855072463768116,0.855072463768116,0.08695652173913043,0.057971014492753624,0.0,0.4067796610169492,5.75,0.11764705882352941,0.47058823529411764,0.38461538461538464,0.2692307692307692,0.5917620189715571,0.5191743531901988,0.4927536231884058,0.4927536231884058,0.5294117647058824,5.571428571428571,5.0,1725,402
network_ws,15,44,0,0,0,0,0,0,26,0,0,26,0,0,0,52,78,78,0,0,78,76,42,40,0.5384615384615384,0.5384615384615384,0.9743589743589743,0.8076923076923077,0.08974358974358974,0.10256410256410256,0.0,0.42857142857142855,5.851851851851852,0.38095238095238093,0.6190476190476191,0.5789473684210527,0.42105263157894735,0.6101973987563102,0.564868625333481,0.3333333333333333,0.3333333333333333,0.38095238095238093,6.038461538461538,6.0,1484,489
network_ws,16,44,0,0,0,0,0,0,34,0,0,34,0,0,0,47,81,81,0,0,81,81,33,33,0.4074074074074074,0.4074074074074074,1.0,0.9259259259259259,0.07407407407407407,0.0,0.0,0.36,5.481481481481482,0.2727272727272727,0.5454545454545454,0.6785714285714286,0.5357142857142857,0.6206794450840447,0.41099673446155877,0.41975308641975306,0.41975308641975306,0.45454545454545453,6.659574468085107,7.0,1843,553
network_ws,17,44,0,0,0,0,0,0,44,0,0,44,0,0,0,41,85,85,0,0,85,83,36,34,0.4235294117647059,0.4235294117647059,0.9764705882352941,0.8235294117647058,0.12941176470588237,0.047058823529411764,0.0,0.3,6.571428571428571,0.25,0.4722222222222222,0.6470588235294118,0.3235294117647059,0.5659419702141497,0.5118454411473204,0.5176470588235295,0.5176470588235295,0.5277777777777778,6.414634146341464,6.0,2243,548
network_ws,18,44,0,0,0,0,0,0,37,0,0,37,0,0,0,34,71,71,0,0,71,70,44,43,0.6197183098591549,0.6197183098591549,0.9859154929577465,0.8450704225352113,0.08450704225352113,0.07042253521126761,0.0,0.55,6.121212121212121,0.22727272727272727,0.4090909090909091,0.5263157894736842,0.42105263157894735,0.55111757326486,0.432591577516092,0.5211267605633803,0.5211267605633803,0.5909090909090909,5.911764705882353,6.0,1866,448
network_ws,19,44,0,0,0,0,0,0,32,0,0,32,0,0,0,43,75,75,0,0,75,72,46,43,0.6133333333333333,0.6133333333333333,0.96,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.5538461538461539,6.083333333333333,0.1956521739130435,0.41304347826086957,0.4883720930232558,0.4418604651162791,0.6198685753365745,0.35124008505209536,0.4266666666666667,0.4266666666666667,0.5869565217391305,5.953488372093023,6.0,1696,484
network_ba,0,44,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0,69,67,44,42,0.6376811594202898,0.6376811594202898,0.9710144927536232,0.7971014492753623,0.11594202898550725,0.08695652173913043,0.0,0.5454545454545454,5.566666666666666,0.25,0.5681818181818182,0.6285714285714286,0.2,0.5953223143476114,0.513022056772439,0.42028985507246375,0.42028985507246375,0.4318181818181818,5.675,6.0,1532,420
network_ba,1,44,0,0,0,0,0,0,37,0,0,37,0,0,0,44,81,81,0,0,81,80,43,42,0.5308641975308642,0.5308641975308642,0.9876543209876543,0.8148148148148148,0.07407407407407407,0.1111111111111111,0.0,0.42424242424242425,5.892857142857143,0.23255813953488372,0.5116279069767442,0.5135135135135135,0.43243243243243246,0.5461730736508342,0.45968135154257156,0.4567901234567901,0.4567901234567901,0.4883720930232558,6.318181818181818,6.0,1943,523
network_ba,2,44,0,0,0,0,0,0,26,0,0,26,0,0,0,49,75,75,0,0,75,74,40,39,0.5333333333333333,0.5333333333333333,0.9866666666666667,0.8133333333333334,0.06666666666666667,0.12,0.0,0.4262295081967213,6.115384615384615,0.275,0.625,0.5757575757575758,0.3939393939393939,0.6159876927658561,0.6059111157746522,0.3466666666666667,0.3466666666666667,0.375,6.346938775510204,6.0,1481,469
network_ba,3,44,0,0,0,0,0,0,40,0,0,40,0,0,0,44,84,84,0,0,84,80,54,50,0.6428571428571429,0.6428571428571429,0.9523809523809523,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.5714285714285714,5.975,0.4074074074074074,0.5555555555555556,0.6938775510204082,0.42857142857142855,0.592995737804407,0.5593951862213973,0.47619047619047616,0.47619047619047616,0.4444444444444444,6.909090909090909,7.0,2104,582
network_ba,4,44,0,0,0,0,0,0,36,0,0,36,0,0,0,46,82,82,0,0,82,80,35,33,0.4268292682926829,0.4268292682926829,0.975609756097561,0.8536585365853658,0.06097560975609756,0.08536585365853659,0.0,0.32857142857142857,5.913043478260869,0.3142857142857143,0.6,0.6333333333333333,0.23333333333333334,0.6261319416917508,0.709239781061548,0.43902439024390244,0.43902439024390244,0.4,5.978260869565218,6.0,1895,509
