block,comparison,metric,n,mean_difference,sd_difference,se_difference,ci_low,ci_high
symmetric,both - domestic_only,domestic_use,2,-0.12946428571428575,0.08207489424486707,0.05803571428571424,-0.1875,-0.07142857142857151
symmetric,both - domestic_only,customer_use,2,0.9330357142857143,0.006313453403451295,0.004464285714285698,0.9285714285714286,0.9375
symmetric,both - domestic_only,resolved_share,2,0.28125,0.30935921676911454,0.21874999999999997,0.0625,0.5
symmetric,both - domestic_only,d_to_e_all,2,0.26339285714285715,0.0694479874379645,0.04910714285714286,0.21428571428571427,0.3125
symmetric,both - domestic_only,e_to_d_all,2,0.3035714285714286,0.07576144084141581,0.05357142857142857,0.25,0.35714285714285715
symmetric,both - domestic_only,both_use,2,0.7678571428571428,0.025253813613805257,0.017857142857142846,0.75,0.7857142857142857
symmetric,both - customer_only,domestic_use,2,0.8348214285714286,0.03156726701725655,0.022321428571428548,0.8125,0.8571428571428571
symmetric,both - customer_only,customer_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
symmetric,both - customer_only,resolved_share,2,0.10714285714285712,0.1515228816828316,0.10714285714285712,0.0,0.21428571428571425
symmetric,both - customer_only,d_to_e_all,2,0.26339285714285715,0.0694479874379645,0.04910714285714286,0.21428571428571427,0.3125
symmetric,both - customer_only,e_to_d_all,2,0.3035714285714286,0.07576144084141581,0.05357142857142857,0.25,0.35714285714285715
symmetric,both - customer_only,both_use,2,0.7678571428571428,0.025253813613805257,0.017857142857142846,0.75,0.7857142857142857
mechanisms,no_escalation - base,domestic_use,2,-0.035714285714285754,0.050507627227610596,0.035714285714285754,-0.07142857142857151,0.0
mechanisms,no_escalation - base,customer_use,2,-0.3794642857142857,0.27147849634840665,0.1919642857142857,-0.5714285714285714,-0.1875
mechanisms,no_escalation - base,resolved_share,2,-0.07142857142857142,0.10101525445522107,0.07142857142857142,-0.14285714285714285,0.0
mechanisms,no_escalation - base,d_to_e_all,2,-0.3794642857142857,0.27147849634840665,0.1919642857142857,-0.5714285714285714,-0.1875
mechanisms,no_escalation - base,e_to_d_all,2,-0.03571428571428571,0.050507627227610534,0.03571428571428571,-0.07142857142857142,0.0
mechanisms,no_escalation - base,both_use,2,-0.41517857142857145,0.3219861235760172,0.22767857142857142,-0.6428571428571429,-0.1875
mechanisms,no_social - base,domestic_use,2,0.0,0.0,0.0,0.0,0.0
mechanisms,no_social - base,customer_use,2,-0.03125,0.04419417382415922,0.03125,-0.0625,0.0
mechanisms,no_social - base,resolved_share,2,0.0,0.0,0.0,0.0,0.0
