case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,scenario,seed
20:0,20,0,0,0,0.0,,3.0,,3.0,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.45618978127680115,False,0.5455633401365033,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,3
21:0,21,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.2297677278000232,True,0.4,3.0,7.0,no_remedy,,7.0,7.0,7.0,baseline,3
23:0,23,0,0,0,0.0,,3.0,,,,4.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7346016136863052,False,0.5455633401365033,4.0,,remedy_supported,4.0,,24.0,24.0,baseline,3
24:0,24,1,0,0,0.0,0.0,3.0,2.0,3.0,,4.0,,successful,closed_unresolved,4.0,d,1.0,d+e,resolved,0.7759740155611181,True,0.5544366598634967,4.0,2.0,remedy_supported,4.0,4.0,4.0,4.0,baseline,3
25:0,25,2,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.7741820956103354,True,0.4,3.0,7.0,no_remedy,,,24.0,24.0,baseline,3
27:0,27,2,0,0,0.0,4.0,3.0,,3.0,,4.0,,successful,cancelled_by_resolution,4.0,d,1.0,d,resolved,0.824165186286955,True,0.4,4.0,4.0,remedy_supported,4.0,4.0,4.0,4.0,baseline,3
29:0,29,1,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6595094424481027,True,0.5544366598634967,3.0,,no_remedy,,,24.0,24.0,baseline,3
30:0,30,0,0,0,0.0,,3.0,,3.0,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.35923340597726594,False,0.5455633401365033,4.0,,remedy_supported,4.0,4.0,4.0,4.0,baseline,3
32:0,32,0,0,0,0.0,,3.0,,3.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6481750848974973,False,0.5455633401365033,3.0,,no_remedy,,,24.0,24.0,baseline,3
33:0,33,1,0,0,0.0,4.0,3.0,6.0,,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.7526286831602758,True,0.5544366598634967,3.0,7.0,no_remedy,,7.0,7.0,7.0,baseline,3
34:0,34,1,0,0,0.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.25553871271652073,True,0.5544366598634967,5.0,9.0,remedy_supported,5.0,9.0,9.0,9.0,baseline,3
13:5,13,1,5,5,5.0,,7.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.782437823289138,True,0.5544366598634967,7.0,,no_remedy,,,19.0,19.0,baseline,3
17:10,17,1,10,10,10.0,,12.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5899672850883892,True,0.5544366598634967,12.0,,no_remedy,,,14.0,14.0,baseline,3
20:14,20,0,14,14,14.0,,16.0,,16.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.45618978127680115,False,0.5455633401365033,16.0,,no_remedy,,,10.0,10.0,baseline,3
21:14,21,2,14,14,14.0,17.0,16.0,19.0,16.0,19.0,,20.0,closed_unresolved,successful,20.0,e,1.0,d,resolved,0.2297677278000232,True,0.4,16.0,20.0,no_remedy,,6.0,6.0,6.0,baseline,3
