time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,cumulative_domestic_share,cumulative_customer_share,new_d_to_e,new_e_to_d,scenario,seed
41,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
42,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
43,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
44,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
0,71,71,71,64,13,0,71,71,0,0,64,64,0,0,0,13,0,0,71,71,0,0,0.9014084507042254,0.18309859154929578,0.0,0.0,both,18
1,0,0,0,0,0,0,71,71,0,0,64,64,0,0,0,13,0,0,71,71,64,13,0.9014084507042254,0.18309859154929578,0.0,0.0,both,18
2,0,0,0,0,0,0,71,57,0,14,54,52,2,2,0,6,0,0,71,71,64,13,0.9014084507042254,0.18309859154929578,0.0,0.0,both,18
3,0,0,0,5,6,11,66,56,0,10,50,45,5,6,2,6,5,5,71,71,64,13,0.971830985915493,0.2676056338028169,6.0,5.0,both,18
4,0,0,0,1,7,8,63,49,0,14,38,34,4,4,3,13,3,8,71,71,50,6,0.9859154929577465,0.36619718309859156,7.0,1.0,both,18
5,0,0,0,0,7,7,60,39,0,21,27,22,5,5,3,16,3,11,71,71,38,13,0.9859154929577465,0.4647887323943662,7.0,0.0,both,18
6,0,0,0,0,6,6,55,27,0,28,17,10,7,7,5,14,5,16,71,71,27,20,0.9859154929577465,0.5492957746478874,6.0,0.0,both,18
7,0,0,0,0,1,1,47,13,0,34,6,0,6,6,6,8,8,24,71,71,17,20,0.9859154929577465,0.5633802816901409,1.0,0.0,both,18
8,0,0,0,0,2,2,41,6,0,35,0,0,0,0,6,6,6,30,71,71,6,14,0.9859154929577465,0.5915492957746479,2.0,0.0,both,18
9,0,0,0,0,0,0,40,2,0,38,0,0,0,0,0,2,1,31,71,71,0,9,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
10,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,3,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
11,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,2,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
12,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
13,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
14,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
15,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
16,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
17,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
18,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
19,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
20,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
21,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
22,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
23,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
24,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
25,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
26,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
27,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
28,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
29,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
30,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
31,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
32,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
33,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
34,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
35,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
36,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
